alert_id,customer_id,account_id,amount,status,type,date,branch,remarks,flag
AL313,C1312,A2312,29373.29,PENDING,CURRENT,2021-09-04,B12,OK,N
AL314,C1313,A2313,25545.65,ACTIVE,LOAN,2021-08-24,B14,OK,Y
AL315,C1314,A2314,47866.67,ACTIVE,CURRENT,2025-03-22,B19,OK,Y
AL316,C1315,A2315,18284.53,INACTIVE,CURRENT,2022-01-27,B15,OK,Y
AL317,C1316,A2316,12763.01,ACTIVE,LOAN,2021-07-19,B3,OK,Y
AL318,C1317,A2317,1625.9,ACTIVE,CURRENT,2020-08-02,B14,OK,Y
AL319,C1318,A2318,4481.59,INACTIVE,CURRENT,2020-01-27,B5,OK,Y
AL320,C1319,A2319,29944.14,INACTIVE,SAVINGS,2024-09-14,B6,OK,N
AL321,C1320,A2320,,ACTIVE,LOAN,2023-12-22,B16,OK,Y
AL322,C1321,A2321,35968.55,INACTIVE,SAVINGS,2024-03-23,B1,OK,Y
AL323,C1322,A2322,29715.07,ACTIVE,CURRENT,2023-06-16,B1,OK,N
AL324,C1323,A2323,42237.95,ACTIVE,CURRENT,2022-04-02,B16,OK,Y
AL325,C1324,A2324,14178.98,INACTIVE,SAVINGS,2023-03-14,B17,OK,N
AL326,C1325,A2325,4530.12,INACTIVE,SAVINGS,2021-08-21,B5,,Y
AL327,C1326,A2326,35506.8,INACTIVE,CURRENT,2023-02-26,B16,OK,Y
AL328,C1327,A2327,813.45,PENDING,SAVINGS,2024-07-15,B3,OK,N
AL329,C1328,A2328,44941.18,ACTIVE,LOAN,2025-01-08,B8,OK,Y
AL330,C1329,A2329,4383.94,ACTIVE,CURRENT,2020-07-09,B17,OK,N
AL331,C1330,A2330,11728.58,ACTIVE,SAVINGS,2021-05-11,B12,OK,N
AL332,C1331,A2331,10576.06,PENDING,CURRENT,2024-12-25,B4,OK,N
AL333,C1332,A2332,1750.23,ACTIVE,CURRENT,2020-07-27,B2,OK,N
AL334,C1333,A2333,11005.47,INACTIVE,CURRENT,2021-01-15,B17,OK,Y
AL335,C1334,A2334,28564.69,PENDING,LOAN,2021-10-06,B6,OK,Y
AL336,C1335,A2335,34771.07,INACTIVE,SAVINGS,2021-11-04,B19,OK,Y
AL337,C1336,A2336,35138.04,PENDING,SAVINGS,2021-08-04,B12,OK,Y
AL338,C1337,A2337,43927.55,ACTIVE,LOAN,2025-05-09,B7,OK,Y
AL339,C1338,A2338,1675.48,ACTIVE,SAVINGS,2020-01-10,B5,OK,Y
AL340,C1339,A2339,31455.71,PENDING,SAVINGS,2021-07-05,B5,OK,N
AL341,C1340,A2340,49583.45,PENDING,LOAN,2023-04-21,B12,OK,N
AL342,C1341,A2341,494.32,INACTIVE,LOAN,2021-10-18,B17,OK,N
AL343,C1342,A2342,42392.71,PENDING,CURRENT,2023-04-14,B7,OK,N
AL344,C1343,A2343,30645.41,ACTIVE,CURRENT,2022-07-04,B20,OK,N
AL345,C1344,A2344,42903.78,ACTIVE,CURRENT,2024-07-29,B19,OK,N
AL346,C1345,A2345,42880.22,INACTIVE,CURRENT,2020-11-14,B8,OK,N
AL347,C1346,A2346,42114.91,ACTIVE,SAVINGS,2021-09-23,B7,OK,N
AL348,C1347,A2347,46134.48,INACTIVE,LOAN,2022-06-29,B5,OK,Y
AL349,C1348,A2348,14163.31,INACTIVE,CURRENT,2021-07-07,B20,OK,Y
AL350,C1349,A2349,46324.04,PENDING,LOAN,2022-10-20,B7,OK,Y
AL351,C1350,A2350,27173.68,ACTIVE,SAVINGS,2021-03-19,B13,,Y
AL352,C1351,A2351,37655.98,ACTIVE,CURRENT,2023-01-04,B7,OK,N
AL353,C1352,A2352,17172.82,INACTIVE,SAVINGS,2023-10-10,B18,OK,N
AL354,C1353,A2353,38344.71,PENDING,LOAN,2022-07-22,B15,OK,Y
AL355,C1354,A2354,3495.42,PENDING,SAVINGS,2021-10-12,B12,OK,N
AL356,C1355,A2355,5604.38,ACTIVE,SAVINGS,2025-05-28,B7,OK,Y
AL357,C1356,A2356,4607.18,INACTIVE,CURRENT,2024-12-28,B8,OK,N
AL358,C1357,A2357,42233.7,INACTIVE,LOAN,2024-12-04,B12,OK,N
AL359,C1358,A2358,1455.11,ACTIVE,CURRENT,2020-04-24,B6,OK,N
AL360,C1359,A2359,10779.7,ACTIVE,CURRENT,2020-01-25,B12,OK,Y
AL361,C1360,A2360,,ACTIVE,CURRENT,2023-12-10,B3,OK,Y
AL362,C1361,A2361,34347.04,ACTIVE,LOAN,2022-03-29,B17,OK,Y
AL363,C1362,A2362,16170.03,PENDING,LOAN,2022-11-18,B10,OK,Y
AL364,C1363,A2363,9447.08,PENDING,SAVINGS,2025-04-10,B2,OK,N
AL365,C1364,A2364,48151.27,INACTIVE,SAVINGS,2021-07-02,B1,OK,Y
AL366,C1365,A2365,39353.97,INACTIVE,SAVINGS,2024-10-21,B19,OK,N
AL367,C1366,A2366,34696.84,INACTIVE,CURRENT,2024-05-13,B19,OK,N
AL368,C1367,A2367,32832.18,PENDING,CURRENT,2023-09-13,B8,OK,N
AL369,C1368,A2368,31649.92,INACTIVE,CURRENT,2021-08-25,B10,OK,Y
AL370,C1369,A2369,16295.27,PENDING,SAVINGS,2024-10-27,B11,OK,N
AL371,C1370,A2370,14326.28,PENDING,LOAN,2023-09-17,B12,OK,Y
AL372,C1371,A2371,8356.08,INACTIVE,LOAN,2024-02-27,B10,OK,Y
AL373,C1372,A2372,46367.95,PENDING,CURRENT,2025-01-10,B15,OK,Y
AL374,C1373,A2373,13427.64,INACTIVE,CURRENT,2024-07-07,B2,OK,Y
AL375,C1374,A2374,42605.6,INACTIVE,CURRENT,2022-03-15,B18,OK,N
AL376,C1375,A2375,11208.06,ACTIVE,LOAN,2022-10-09,B18,,N
AL377,C1376,A2376,46496.39,PENDING,LOAN,2024-01-09,B16,OK,Y
AL378,C1377,A2377,7935.23,ACTIVE,CURRENT,2020-04-04,B11,OK,Y
AL379,C1378,A2378,38005.14,ACTIVE,SAVINGS,2024-03-09,B8,OK,N
AL380,C1379,A2379,33985.49,PENDING,SAVINGS,2020-02-17,B12,OK,N
AL381,C1380,A2380,10032.73,ACTIVE,CURRENT,2024-06-08,B1,OK,N
AL382,C1381,A2381,8685.38,ACTIVE,CURRENT,2025-01-25,B12,OK,N
AL383,C1382,A2382,12164.44,PENDING,SAVINGS,2020-11-19,B12,OK,Y
AL384,C1383,A2383,45820.88,PENDING,LOAN,2024-12-28,B20,OK,Y
AL385,C1384,A2384,19573.75,PENDING,CURRENT,2021-05-01,B15,OK,Y
AL386,C1385,A2385,46045.69,INACTIVE,CURRENT,2020-12-15,B12,OK,Y
AL387,C1386,A2386,26556.04,ACTIVE,CURRENT,2025-04-11,B12,OK,Y
AL388,C1387,A2387,47854.84,PENDING,SAVINGS,2021-08-07,B9,OK,N
AL389,C1388,A2388,14492.71,INACTIVE,SAVINGS,2022-08-16,B18,OK,N
AL390,C1389,A2389,21565.52,PENDING,SAVINGS,2022-07-14,B14,OK,Y
AL391,C1390,A2390,43250.51,PENDING,CURRENT,2024-04-08,B9,OK,Y
AL392,C1391,A2391,38411.32,INACTIVE,SAVINGS,2023-01-23,B10,OK,N
AL393,C1392,A2392,14050.59,PENDING,LOAN,2020-06-29,B1,OK,Y
AL394,C1393,A2393,49865.71,INACTIVE,LOAN,2023-08-08,B16,OK,N
AL395,C1394,A2394,29164.24,PENDING,LOAN,2025-01-23,B16,OK,Y
AL396,C1395,A2395,15619.22,INACTIVE,SAVINGS,2024-08-23,B3,OK,N
AL397,C1396,A2396,17290.12,ACTIVE,CURRENT,2024-06-29,B12,OK,Y
AL398,C1397,A2397,27814.71,INACTIVE,SAVINGS,2022-06-21,B11,OK,N
AL399,C1398,A2398,12272.73,PENDING,CURRENT,2025-05-25,B4,OK,N
AL400,C1399,A2399,22171.39,PENDING,SAVINGS,2023-08-16,B20,OK,Y
AL401,C1400,A2400,,ACTIVE,SAVINGS,2024-02-01,B1,,N
AL402,C1401,A2401,567.84,PENDING,CURRENT,2023-06-22,B2,OK,N
AL403,C1402,A2402,11950.23,ACTIVE,LOAN,2022-02-03,B15,OK,Y
AL404,C1403,A2403,32186.12,ACTIVE,LOAN,2020-06-05,B15,OK,Y
AL405,C1404,A2404,3771.1,ACTIVE,SAVINGS,2024-08-09,B7,OK,Y
AL406,C1405,A2405,22027.83,INACTIVE,LOAN,2022-01-23,B3,OK,N
AL407,C1406,A2406,35436.36,PENDING,CURRENT,2023-02-27,B4,OK,Y
AL408,C1407,A2407,47538.99,PENDING,SAVINGS,2022-06-28,B3,OK,Y
AL409,C1408,A2408,47928.88,PENDING,CURRENT,2021-11-16,B17,OK,N
AL410,C1409,A2409,37659.55,ACTIVE,SAVINGS,2023-05-14,B10,OK,Y
AL411,C1410,A2410,14464.78,PENDING,SAVINGS,2020-06-26,B2,OK,N
AL412,C1411,A2411,39201.5,INACTIVE,LOAN,2020-09-07,B2,OK,Y
AL413,C1412,A2412,42328.27,PENDING,SAVINGS,2020-02-11,B18,OK,Y
AL414,C1413,A2413,17265.95,INACTIVE,LOAN,2022-02-03,B8,OK,N
AL415,C1414,A2414,30572.31,INACTIVE,LOAN,2022-07-10,B5,OK,N
AL416,C1415,A2415,37031.14,PENDING,LOAN,2024-03-17,B15,OK,N
AL417,C1416,A2416,10144.96,INACTIVE,SAVINGS,2023-09-12,B14,OK,N
AL418,C1417,A2417,8960.46,PENDING,SAVINGS,2020-06-05,B18,OK,Y
AL419,C1418,A2418,32054.38,ACTIVE,SAVINGS,2021-08-25,B20,OK,N
AL420,C1419,A2419,8494.57,INACTIVE,SAVINGS,2025-01-27,B5,OK,Y
AL421,C1420,A2420,45312.64,INACTIVE,SAVINGS,2023-02-05,B18,OK,Y
AL422,C1421,A2421,16463.95,INACTIVE,LOAN,2024-11-30,B11,OK,Y
AL423,C1422,A2422,29218.63,PENDING,SAVINGS,2022-09-17,B3,OK,N
AL424,C1423,A2423,44881.18,ACTIVE,SAVINGS,2023-06-22,B3,OK,Y
AL425,C1424,A2424,36240.85,ACTIVE,LOAN,2021-04-10,B8,OK,N
AL426,C1425,A2425,47510.4,PENDING,CURRENT,2021-11-25,B5,,Y
AL427,C1426,A2426,33787.94,INACTIVE,SAVINGS,2020-04-25,B15,OK,Y
AL428,C1427,A2427,2476.27,PENDING,SAVINGS,2023-05-30,B9,OK,N
AL429,C1428,A2428,28924.41,ACTIVE,SAVINGS,2021-12-04,B20,OK,N
AL430,C1429,A2429,33515.0,PENDING,CURRENT,2020-07-24,B2,OK,N
AL431,C1430,A2430,30160.3,ACTIVE,SAVINGS,2023-01-06,B12,OK,N
AL432,C1431,A2431,38810.79,INACTIVE,LOAN,2020-01-01,B15,OK,N
AL433,C1432,A2432,26302.12,ACTIVE,CURRENT,2020-05-07,B16,OK,Y
AL434,C1433,A2433,38435.57,ACTIVE,LOAN,2024-12-20,B9,OK,Y
AL435,C1434,A2434,10645.21,ACTIVE,SAVINGS,2023-06-21,B5,OK,N
AL436,C1435,A2435,49484.14,ACTIVE,LOAN,2022-03-30,B12,OK,Y
AL437,C1436,A2436,4762.69,PENDING,SAVINGS,2024-11-07,B1,OK,N
AL438,C1437,A2437,32916.33,PENDING,CURRENT,2025-06-19,B4,OK,Y
AL439,C1438,A2438,13493.18,ACTIVE,LOAN,2025-05-05,B1,OK,Y
AL440,C1439,A2439,16024.24,ACTIVE,LOAN,2023-09-28,B9,OK,N
AL441,C1440,A2440,,ACTIVE,CURRENT,2020-07-02,B18,OK,N
AL442,C1441,A2441,14967.08,ACTIVE,SAVINGS,2025-03-29,B17,OK,Y
AL443,C1442,A2442,32930.0,PENDING,CURRENT,2021-02-24,B12,OK,N
AL444,C1443,A2443,33247.58,PENDING,LOAN,2020-08-27,B15,OK,N
AL445,C1444,A2444,33536.88,ACTIVE,LOAN,2022-11-18,B5,OK,N
AL446,C1445,A2445,45762.41,PENDING,CURRENT,2021-04-10,B16,OK,Y
AL447,C1446,A2446,35995.26,PENDING,LOAN,2022-10-26,B18,OK,Y
AL448,C1447,A2447,14005.64,INACTIVE,CURRENT,2022-10-24,B19,OK,N
AL449,C1448,A2448,31316.99,PENDING,SAVINGS,2020-11-08,B10,OK,N
AL450,C1449,A2449,27471.14,INACTIVE,SAVINGS,2022-01-28,B7,OK,Y
AL451,C1450,A2450,17857.4,PENDING,LOAN,2023-08-07,B5,,Y
AL452,C1451,A2451,31284.98,ACTIVE,SAVINGS,2020-08-20,B20,OK,N
AL453,C1452,A2452,43556.63,INACTIVE,SAVINGS,2023-04-25,B20,OK,N
AL454,C1453,A2453,30490.68,INACTIVE,CURRENT,2022-11-23,B19,OK,Y
AL455,C1454,A2454,45372.59,PENDING,SAVINGS,2021-03-20,B9,OK,N
AL456,C1455,A2455,13095.45,ACTIVE,CURRENT,2023-12-13,B16,OK,N
AL457,C1456,A2456,35113.83,INACTIVE,SAVINGS,2023-10-31,B11,OK,Y
AL458,C1457,A2457,18361.08,PENDING,SAVINGS,2024-01-12,B11,OK,Y
AL459,C1458,A2458,19833.57,ACTIVE,CURRENT,2021-05-16,B9,OK,N
AL460,C1459,A2459,38248.28,PENDING,SAVINGS,2020-12-03,B13,OK,N
AL461,C1460,A2460,4567.38,PENDING,CURRENT,2021-04-12,B3,OK,Y
AL462,C1461,A2461,21080.24,ACTIVE,LOAN,2023-08-03,B14,OK,N
AL463,C1462,A2462,42861.54,INACTIVE,CURRENT,2025-02-25,B11,OK,N
AL464,C1463,A2463,26463.23,INACTIVE,LOAN,2023-06-04,B8,OK,N
AL465,C1464,A2464,1131.65,PENDING,CURRENT,2023-02-28,B3,OK,N
AL466,C1465,A2465,34161.95,INACTIVE,SAVINGS,2025-06-05,B2,OK,Y
AL467,C1466,A2466,27613.88,PENDING,SAVINGS,2021-07-17,B12,OK,Y
AL468,C1467,A2467,15688.64,INACTIVE,LOAN,2021-03-29,B12,OK,Y
AL469,C1468,A2468,25981.23,PENDING,CURRENT,2020-09-13,B16,OK,N
AL470,C1469,A2469,21499.1,PENDING,CURRENT,2024-06-16,B2,OK,N
AL471,C1470,A2470,47497.81,INACTIVE,LOAN,2024-01-24,B16,OK,Y
AL472,C1471,A2471,24242.05,INACTIVE,LOAN,2020-04-01,B9,OK,N
AL473,C1472,A2472,37292.99,PENDING,CURRENT,2020-01-05,B16,OK,N
AL474,C1473,A2473,19647.66,PENDING,LOAN,2022-06-01,B2,OK,Y
AL475,C1474,A2474,15032.67,ACTIVE,SAVINGS,2024-01-02,B5,OK,N
AL476,C1475,A2475,42156.91,PENDING,LOAN,2024-03-06,B18,,N
AL477,C1476,A2476,34734.89,INACTIVE,SAVINGS,2020-04-11,B6,OK,Y
AL478,C1477,A2477,47477.2,PENDING,CURRENT,2021-04-14,B6,OK,Y
AL479,C1478,A2478,6060.65,PENDING,CURRENT,2022-09-08,B12,OK,N
AL480,C1479,A2479,34164.39,INACTIVE,SAVINGS,2023-10-16,B13,OK,N
AL481,C1480,A2480,,INACTIVE,CURRENT,2025-05-22,B8,OK,N
AL482,C1481,A2481,32029.48,ACTIVE,SAVINGS,2021-11-13,B1,OK,N
AL483,C1482,A2482,933.12,INACTIVE,LOAN,2022-11-07,B13,OK,N
AL484,C1483,A2483,21417.37,PENDING,LOAN,2021-12-05,B18,OK,Y
AL485,C1484,A2484,814.07,INACTIVE,CURRENT,2022-02-13,B6,OK,Y
AL486,C1485,A2485,43799.54,INACTIVE,SAVINGS,2023-12-31,B6,OK,Y
AL487,C1486,A2486,25667.09,ACTIVE,CURRENT,2025-02-13,B11,OK,N
AL488,C1487,A2487,34735.43,PENDING,SAVINGS,2020-01-25,B6,OK,Y
AL489,C1488,A2488,26618.1,INACTIVE,LOAN,2022-02-25,B19,OK,Y
AL490,C1489,A2489,11058.32,PENDING,CURRENT,2024-08-08,B2,OK,N
AL491,C1490,A2490,44326.47,ACTIVE,SAVINGS,2023-01-06,B8,OK,Y
AL492,C1491,A2491,1428.5,PENDING,SAVINGS,2021-09-10,B12,OK,N
AL493,C1492,A2492,1997.54,PENDING,LOAN,2021-05-04,B3,OK,Y
AL494,C1493,A2493,13084.32,INACTIVE,CURRENT,2022-11-06,B14,OK,Y
AL495,C1494,A2494,35439.87,ACTIVE,CURRENT,2021-03-18,B10,OK,Y
AL496,C1495,A2495,9292.12,ACTIVE,SAVINGS,2020-02-17,B18,OK,Y
AL497,C1496,A2496,21782.34,INACTIVE,LOAN,2023-02-21,B20,OK,Y
AL498,C1497,A2497,25129.46,INACTIVE,SAVINGS,2023-11-14,B13,OK,Y
AL499,C1498,A2498,32099.3,ACTIVE,SAVINGS,2021-02-21,B13,OK,N
AL500,C1499,A2499,2846.84,INACTIVE,SAVINGS,2022-10-13,B13,OK,N
